sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
ASYM00000040MP	MP024	LIB-MP024-E5	LIB00011	LIB00011-MP024-E5_1	LIB00011-MP024-MJ363_E5	-	-
RASK00000071MP	MP024	LIB-MP024-E6	LIB00011	LIB00011-MP024-E6_1	LIB00011-MP024-MJ363_E6	-	-
ASYM00000009MP	MP024	LIB-MP024-F1	LIB00011	LIB00011-MP024-F1_1	LIB00011-MP024-MJ363_F1	-	-
PaPr00000110MP	MP024	LIB-MP024-F2	LIB00011	LIB00011-MP024-F2_1	LIB00011-MP024-MJ363_F2	-	-
LIB-MP024-F3	MP024	LIB-MP024-F3	LIB00011	LIB00011-MP024-F3_1	LIB00011-MP024-MJ363_F3	-	-
RASK00000011MP	MP024	LIB-MP024-F4	LIB00011	LIB00011-MP024-F4_1	LIB00011-MP024-MJ363_F4	-	-
RASK00000074MP	MP024	LIB-MP024-F5	LIB00011	LIB00011-MP024-F5_1	LIB00011-MP024-MJ363_F5	-	-
RASK00000025MP	MP024	LIB-MP024-F6	LIB00011	LIB00011-MP024-F6_1	LIB00011-MP024-MJ363_F6	-	-
RASK00000095MP	MP024	LIB-MP024-G1	LIB00011	LIB00011-MP024-G1_1	LIB00011-MP024-MJ363_G1	-	-
PAOP00000082MP	MP024	LIB-MP024-G2	LIB00011	LIB00011-MP024-G2_1	LIB00011-MP024-MJ363_G2	-	-
PAOP00000070MP	MP024	LIB-MP024-G3	LIB00011	LIB00011-MP024-G3_1	LIB00011-MP024-MJ363_G3	-	-
RASK00000051MP	MP024	LIB-MP024-G4	LIB00011	LIB00011-MP024-G4_1	LIB00011-MP024-MJ363_G4	-	-
PaPr00000162MP	MP024	LIB-MP024-G5	LIB00011	LIB00011-MP024-G5_1	LIB00011-MP024-MJ363_G5	-	-
POUC00000001MP	MP024	LIB-MP024-G6	LIB00011	LIB00011-MP024-G6_1	LIB00011-MP024-MJ363_G6	-	-
RASK00000086MP	MP024	LIB-MP024-H1	LIB00011	LIB00011-MP024-H1_1	LIB00011-MP024-MJ363_H1	-	-
ASYM00000050MP	MP024	LIB-MP024-H2	LIB00011	LIB00011-MP024-H2_1	LIB00011-MP024-MJ363_H2	-	-
PaPr00000111MP	MP024	LIB-MP024-H3	LIB00011	LIB00011-MP024-H3_1	LIB00011-MP024-MJ363_H3	-	-
PAPR00000257MP	MP024	LIB-MP024-H4	LIB00011	LIB00011-MP024-H4_1	LIB00011-MP024-MJ363_H4	-	-
DON300000002MP	MP024	LIB-MP024-H5	LIB00011	LIB00011-MP024-H5_1	LIB00011-MP024-MJ363_H5	-	-
PaPr00000107MP	MP024	LIB-MP024-H6	LIB00011	LIB00011-MP024-H6_1	LIB00011-MP024-MJ363_H6	-	-
UCPr00000001MP	MP049	LIB-MP049-A1	LIB00012	LIB00012-MP049-A1_1	LIB00012-MP049-A1	-	-
UCPr00000009MP	MP049	LIB-MP049-A2	LIB00012	LIB00012-MP049-A2_1	LIB00012-MP049-A2	-	-
UCPr00000017MP	MP049	LIB-MP049-A3	LIB00012	LIB00012-MP049-A3_1	LIB00012-MP049-A3	-	-
UCPr00000023MP	MP049	LIB-MP049-A4	LIB00012	LIB00012-MP049-A4_1	LIB00012-MP049-A4	-	-
UCPr00000031MP	MP049	LIB-MP049-A5	LIB00012	LIB00012-MP049-A5_1	LIB00012-MP049-A5	-	-
PaOp00000096MP	MP049	LIB-MP049-A6	LIB00012	LIB00012-MP049-A6_1	LIB00012-MP049-A6	-	-
UCPr00000002MP	MP049	LIB-MP049-B1	LIB00012	LIB00012-MP049-B1_1	LIB00012-MP049-B1	-	-
UCPr00000010MP	MP049	LIB-MP049-B2	LIB00012	LIB00012-MP049-B2_1	LIB00012-MP049-B2	-	-
UCPr00000018MP	MP049	LIB-MP049-B3	LIB00012	LIB00012-MP049-B3_1	LIB00012-MP049-B3	-	-
UCPr00000024MP	MP049	LIB-MP049-B4	LIB00012	LIB00012-MP049-B4_1	LIB00012-MP049-B4	-	-
UCPr00000032MP	MP049	LIB-MP049-B5	LIB00012	LIB00012-MP049-B5_1	LIB00012-MP049-B5	-	-
PaNP00000030MP	MP049	LIB-MP049-B6	LIB00012	LIB00012-MP049-B6_1	LIB00012-MP049-B6	-	-
UCPr00000003MP	MP049	LIB-MP049-C1	LIB00012	LIB00012-MP049-C1_1	LIB00012-MP049-C1	-	-
UCPr00000011MP	MP049	LIB-MP049-C2	LIB00012	LIB00012-MP049-C2_1	LIB00012-MP049-C2	-	-
LIB-MP049-C3	MP049	LIB-MP049-C3	LIB00012	LIB00012-MP049-C3_1	LIB00012-MP049-C3	-	-
UCPr00000025MP	MP049	LIB-MP049-C4	LIB00012	LIB00012-MP049-C4_1	LIB00012-MP049-C4	-	-
PaPr00000263MP	MP049	LIB-MP049-C5	LIB00012	LIB00012-MP049-C5_1	LIB00012-MP049-C5	-	-
RASK00000099MP	MP049	LIB-MP049-C6	LIB00012	LIB00012-MP049-C6_1	LIB00012-MP049-C6	-	-
UCPr00000004MP	MP049	LIB-MP049-D1	LIB00012	LIB00012-MP049-D1_1	LIB00012-MP049-D1	-	-
LIB-MP049-D12	MP049	LIB-MP049-D12	LIB00012	LIB00012-MP049-D12_1	LIB00012-MP049-D12	-	-
UCPr00000012MP	MP049	LIB-MP049-D2	LIB00012	LIB00012-MP049-D2_1	LIB00012-MP049-D2	-	-
UCPr00000019MP	MP049	LIB-MP049-D3	LIB00012	LIB00012-MP049-D3_1	LIB00012-MP049-D3	-	-
UCPr00000026MP	MP049	LIB-MP049-D4	LIB00012	LIB00012-MP049-D4_1	LIB00012-MP049-D4	-	-
PaPr00000264MP	MP049	LIB-MP049-D5	LIB00012	LIB00012-MP049-D5_1	LIB00012-MP049-D5	-	-
RASK00000100MP	MP049	LIB-MP049-D6	LIB00012	LIB00012-MP049-D6_1	LIB00012-MP049-D6	-	-
UCPr00000005MP	MP049	LIB-MP049-E1	LIB00012	LIB00012-MP049-E1_1	LIB00012-MP049-E1	-	-
UCPr00000013MP	MP049	LIB-MP049-E2	LIB00012	LIB00012-MP049-E2_1	LIB00012-MP049-E2	-	-
UCPr00000020MP	MP049	LIB-MP049-E3	LIB00012	LIB00012-MP049-E3_1	LIB00012-MP049-E3	-	-
UCPr00000027MP	MP049	LIB-MP049-E4	LIB00012	LIB00012-MP049-E4_1	LIB00012-MP049-E4	-	-
